[  3]  1.0- 2.0 sec  32.0 MBytes   268 Mbits/sec
[  3]  2.0- 3.0 sec  32.6 MBytes   274 Mbits/sec
[  3]  3.0- 4.0 sec  32.5 MBytes   273 Mbits/sec
[  3]  4.0- 5.0 sec  27.0 MBytes   226 Mbits/sec
[  3]  5.0- 6.0 sec  35.2 MBytes   296 Mbits/sec
[  3]  6.0- 7.0 sec  34.8 MBytes   292 Mbits/sec
[  3]  7.0- 8.0 sec  26.9 MBytes   225 Mbits/sec
[  3]  8.0- 9.0 sec  30.4 MBytes   255 Mbits/sec
[  3]  0.0- 1.0 sec  34.5 MBytes   289 Mbits/sec
[  3]  1.0- 2.0 sec  34.9 MBytes   293 Mbits/sec
[  3]  2.0- 3.0 sec  34.9 MBytes   293 Mbits/sec
[  3]  3.0- 4.0 sec  35.5 MBytes   298 Mbits/sec
[  3]  4.0- 5.0 sec  34.0 MBytes   285 Mbits/sec
[  3]  5.0- 6.0 sec  35.4 MBytes   297 Mbits/sec
[  3]  6.0- 7.0 sec  35.9 MBytes   301 Mbits/sec
[  3]  7.0- 8.0 sec  33.9 MBytes   284 Mbits/sec
[  3]  8.0- 9.0 sec  30.6 MBytes   257 Mbits/sec
[  3]  0.0- 1.0 sec  28.9 MBytes   242 Mbits/sec
[  3]  1.0- 2.0 sec  34.1 MBytes   286 Mbits/sec
[  3]  2.0- 3.0 sec  34.5 MBytes   289 Mbits/sec
[  3]  3.0- 4.0 sec  34.2 MBytes   287 Mbits/sec
[  3]  4.0- 5.0 sec  34.9 MBytes   293 Mbits/sec
[  3]  5.0- 6.0 sec  34.5 MBytes   289 Mbits/sec
[  3]  6.0- 7.0 sec  33.5 MBytes   281 Mbits/sec
[  3]  7.0- 8.0 sec  35.1 MBytes   295 Mbits/sec
[  3]  8.0- 9.0 sec  34.4 MBytes   288 Mbits/sec
[  3]  0.0- 1.0 sec  34.4 MBytes   288 Mbits/sec
[  3]  1.0- 2.0 sec  35.8 MBytes   300 Mbits/sec
[  3]  2.0- 3.0 sec  34.8 MBytes   292 Mbits/sec
[  3]  3.0- 4.0 sec  35.6 MBytes   299 Mbits/sec
[  3]  4.0- 5.0 sec  35.8 MBytes   300 Mbits/sec
[  3]  5.0- 6.0 sec  34.8 MBytes   292 Mbits/sec
[  3]  6.0- 7.0 sec  34.1 MBytes   286 Mbits/sec
[  3]  7.0- 8.0 sec  34.9 MBytes   293 Mbits/sec
[  3]  8.0- 9.0 sec  35.1 MBytes   295 Mbits/sec
